STATE.UT,YEAR, TOTAL CRIMES AGAINST CHILDREN,ABETMENT OF SUICIDE,BUYING OF GIRLS FOR PROSTITUTION,EXPOSURE AND ABANDONMENT,FOETICIDE,INFANTICIDE,KIDNAPPING and ABDUCTION OF CHILDREN,MURDER OF CHILDREN,OTHER CRIMES AGAINST CHILDREN,PROCURATION OF MINOR GILRS,PROHIBITION OF CHILD MARRIAGE ACT,RAPE OF CHILDREN,SELLING OF GIRLS FOR PROSTITUTION
ANDHRA PRADESH,2001,294,7,0,0,0,1,69,42,48,22,3,102,0
ARUNACHAL PRADESH,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2001,143,0,1,1,0,0,39,9,3,56,10,23,1
CHHATTISGARH,2001,750,3,0,4,15,7,38,18,481,0,0,184,0
GOA,2001,35,0,0,1,0,0,7,1,10,4,0,12,0
GUJARAT,2001,543,0,0,14,1,2,132,62,224,17,46,45,0
HARYANA,2001,403,0,0,4,7,0,132,42,77,3,0,135,3
HIMACHAL PRADESH,2001,99,0,0,8,0,0,31,4,7,0,0,49,0
JAMMU & KASHMIR,2001,23,0,0,1,0,0,14,2,1,0,0,5,0
JHARKHAND,2001,52,0,0,0,0,0,9,0,12,0,0,31,0
KARNATAKA,2001,50,0,0,0,0,6,10,8,0,0,17,9,0
KERALA,2001,221,0,0,3,0,1,24,23,73,4,1,92,0
MADHYA PRADESH,2001,1603,5,0,16,2,7,145,99,860,7,17,445,0
MAHARASHTRA,2001,1646,4,2,95,13,13,269,194,471,15,139,429,2
MANIPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2001,69,0,0,0,0,0,24,2,27,0,0,16,0
PUNJAB,2001,169,0,0,0,6,1,43,34,18,11,0,56,0
RAJASTHAN,2001,238,0,0,17,4,0,76,15,38,0,39,49,0
SIKKIM,2001,6,0,0,0,0,0,0,5,0,0,0,1,0
TAMIL NADU,2001,65,1,0,0,0,0,8,20,14,0,0,22,0
TRIPURA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2001,6319,0,3,0,1,78,1968,867,2542,34,3,820,3
UTTARAKHAND,2001,79,0,0,0,0,0,26,16,13,14,0,10,0
WEST BENGAL,2001,144,0,6,0,0,0,82,2,31,7,0,11,5
TOTAL (STATES),2001,12951,20,12,164,49,116,3146,1465,4950,194,275,2546,14
A & N ISLANDS,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2001,59,0,0,1,0,0,27,0,11,0,6,14,0
D & N HAVELI,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2001,386,0,0,2,1,1,162,16,67,4,0,131,2
LAKSHADWEEP,2001,1,0,0,0,0,0,0,1,0,0,0,0,0
PUDUCHERRY,2001,4,0,0,0,0,0,0,0,0,0,0,4,0
TOTAL (UTs),2001,450,0,0,3,1,1,189,17,78,4,6,149,2
TOTAL (ALL-INDIA),2001,13401,20,12,167,50,117,3335,1482,5028,198,281,2695,16
ANDHRA PRADESH,2002,400,15,1,0,0,1,127,50,40,15,15,136,0
ARUNACHAL PRADESH,2002,5,0,0,0,0,0,3,0,0,0,0,2,0
ASSAM,2002,28,0,0,0,0,5,7,2,1,8,2,3,0
BIHAR,2002,100,0,0,2,0,0,57,11,12,11,4,3,0
CHHATTISGARH,2002,902,1,0,10,0,29,29,18,490,0,163,162,0
GOA,2002,35,0,0,1,0,0,6,2,13,6,0,7,0
GUJARAT,2002,774,1,0,6,1,0,216,40,315,0,146,49,0
HARYANA,2002,246,0,0,2,2,3,66,19,43,0,5,100,6
HIMACHAL PRADESH,2002,89,0,0,3,0,0,22,2,13,7,7,35,0
JAMMU & KASHMIR,2002,24,0,0,2,1,0,12,0,1,0,0,8,0
JHARKHAND,2002,136,0,0,0,0,0,46,6,27,11,0,46,0
KARNATAKA,2002,124,0,0,0,0,2,28,40,15,9,1,28,1
KERALA,2002,278,0,0,6,1,1,38,65,70,15,12,70,0
MADHYA PRADESH,2002,3178,3,0,12,2,9,203,97,2029,15,4,696,108
MAHARASHTRA,2002,2015,9,10,91,11,9,365,226,603,49,90,551,1
MANIPUR,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2002,67,0,0,0,0,0,10,7,22,5,0,23,0
PUNJAB,2002,174,0,0,0,2,0,51,12,18,9,1,81,0
RAJASTHAN,2002,103,0,0,9,0,1,37,11,0,0,10,35,0
SIKKIM,2002,8,0,0,0,0,0,0,4,0,0,0,4,0
TAMIL NADU,2002,154,0,0,5,0,19,35,36,30,0,0,29,0
TRIPURA,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2002,2997,0,0,0,1,45,957,606,812,11,15,550,0
UTTARAKHAND,2002,51,0,0,0,0,0,7,15,0,21,0,8,0
WEST BENGAL,2002,164,0,16,0,0,0,84,3,31,12,0,16,2
TOTAL (STATES),2002,12052,29,27,149,21,124,2406,1272,4585,204,475,2642,118
A & N ISLANDS,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2002,41,1,0,1,0,0,22,2,10,0,0,5,0
D & N HAVELI,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2002,391,0,0,3,18,0,137,31,47,0,0,155,0
LAKSHADWEEP,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2002,23,3,0,0,0,0,10,0,6,0,0,4,0
TOTAL (UTs),2002,455,4,0,4,18,0,169,33,63,0,0,164,0
TOTAL (ALL-INDIA),2002,12507,33,27,153,39,124,2575,1305,4648,204,475,2806,118
ANDHRA PRADESH,2003,1194,0,0,2,0,3,360,96,370,30,6,326,1
ARUNACHAL PRADESH,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2003,21,0,0,0,0,0,0,3,0,13,0,5,0
BIHAR,2003,108,0,0,2,0,0,69,16,15,1,2,3,0
CHHATTISGARH,2003,555,5,0,0,6,5,39,30,280,0,6,184,0
GOA,2003,56,0,0,1,0,0,11,0,11,11,0,22,0
GUJARAT,2003,682,0,0,9,0,0,268,36,192,2,73,102,0
HARYANA,2003,321,0,0,4,5,0,96,30,67,5,5,109,0
HIMACHAL PRADESH,2003,122,0,0,2,0,3,30,4,30,0,4,48,1
JAMMU & KASHMIR,2003,53,0,0,0,0,0,41,0,9,0,0,3,0
JHARKHAND,2003,60,0,0,0,3,0,2,5,20,11,0,19,0
KARNATAKA,2003,105,0,0,1,0,0,29,23,21,1,0,30,0
KERALA,2003,196,0,0,1,0,0,16,26,66,7,0,80,0
MADHYA PRADESH,2003,3668,7,0,18,11,4,248,210,2306,8,13,742,101
MAHARASHTRA,2003,2256,9,11,99,5,9,442,203,535,23,65,844,11
MANIPUR,2003,91,0,0,0,0,0,63,19,2,0,0,7,0
MEGHALAYA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
