YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,A & N ISLANDS,CHANDIGARH,D & N HAVELI,DAMAN & DIU,DELHI,LAKSHADWEEP,PUDUCHERRY,TOTAL
2001,294,0,0,143,750,35,543,403,99,23,52,50,221,1603,1646,0,0,0,0,69,169,238,6,65,0,6319,79,144,0,59,0,0,386,1,4,13401
2002,400,5,28,100,902,35,774,246,89,24,136,124,278,3178,2015,0,0,0,0,67,174,103,8,154,0,2997,51,164,0,41,0,0,391,0,23,12507
2003,1194,0,21,108,555,56,682,321,122,53,60,105,196,3668,2256,91,0,0,0,132,176,145,15,157,0,2710,45,160,4,39,5,6,437,0,5,13524
2004,1325,13,18,76,960,64,805,301,97,36,136,135,249,4530,2440,23,0,0,1,172,308,306,35,416,56,3250,67,231,20,21,1,0,558,0,13,16663
2005,1097,24,202,131,1057,76,968,362,162,24,116,160,428,4949,2551,16,31,0,0,100,251,414,12,263,24,2852,107,283,17,61,8,6,590,0,11,17353
2006,1653,18,256,80,1420,69,985,477,143,65,130,198,850,5062,3124,38,23,35,5,142,211,647,14,381,31,2653,95,566,10,42,12,2,1394,0,39,20870
2007,1729,4,170,975,1081,71,1241,394,114,24,75,225,512,5305,3157,21,43,64,6,208,373,745,26,460,70,3553,101,343,9,52,6,6,1247,0,22,22432
2008,1661,20,112,1363,1271,104,1197,325,189,10,141,324,666,5620,3082,6,53,21,6,199,385,732,14,566,160,5760,58,453,52,59,25,10,1097,0,25,25766
2009,2060,27,48,1468,1498,123,980,317,232,7,149,315,698,5829,3086,40,64,15,0,200,889,898,33,657,100,4721,36,375,63,64,15,1,984,0,20,26012
2010,2046,21,132,2414,1659,80,1058,274,269,17,44,389,698,5846,3759,39,77,50,10,218,700,749,34,703,216,3662,45,1009,61,66,12,4,1020,0,22,27403
2011,2550,34,236,2859,1991,70,1279,198,226,29,95,329,1533,5586,4050,49,64,57,20,287,668,995,33,901,253,8560,77,1064,36,65,5,0,1199,0,29,35427
2012,2387,39,391,2319,2059,125,1563,1101,285,44,113,607,1582,7136,4185,33,90,93,12,489,717,1248,30,1105,22,11470,118,1259,33,56,14,9,1351,0,32,42117
